Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,11.950000,11.950000,11.950000,11.950000,10.881856,0
2020-01-03,11.990000,11.990000,11.990000,11.990000,10.918280,0
2020-01-06,11.970000,11.970000,11.970000,11.970000,10.900068,0
2020-01-07,11.960000,11.960000,11.960000,11.960000,10.890958,0
2020-01-08,11.940000,11.940000,11.940000,11.940000,10.872749,0
2020-01-09,11.950000,11.950000,11.950000,11.950000,10.881856,0
2020-01-10,11.970000,11.970000,11.970000,11.970000,10.900068,0
2020-01-13,11.960000,11.960000,11.960000,11.960000,10.890958,0
2020-01-14,11.970000,11.970000,11.970000,11.970000,10.900068,0
2020-01-15,11.990000,11.990000,11.990000,11.990000,10.918280,0
2020-01-16,11.980000,11.980000,11.980000,11.980000,10.909171,0
2020-01-17,11.970000,11.970000,11.970000,11.970000,10.900068,0
2020-01-21,12.000000,12.000000,12.000000,12.000000,10.927384,0
2020-01-22,12.010000,12.010000,12.010000,12.010000,10.936495,0
2020-01-23,12.030000,12.030000,12.030000,12.030000,10.954702,0
2020-01-24,12.050000,12.050000,12.050000,12.050000,10.972918,0
2020-01-27,12.090000,12.090000,12.090000,12.090000,11.009343,0
2020-01-28,12.070000,12.070000,12.070000,12.070000,10.991126,0
2020-01-29,12.100000,12.100000,12.100000,12.100000,11.018447,0
2020-01-30,12.100000,12.100000,12.100000,12.100000,11.018447,0
2020-01-31,12.130000,12.130000,12.130000,12.130000,11.070467,0
2020-02-03,12.130000,12.130000,12.130000,12.130000,11.070467,0
2020-02-04,12.090000,12.090000,12.090000,12.090000,11.033965,0
2020-02-05,12.060000,12.060000,12.060000,12.060000,11.006583,0
2020-02-06,12.070000,12.070000,12.070000,12.070000,11.015707,0
2020-02-07,12.110000,12.110000,12.110000,12.110000,11.052214,0
2020-02-10,12.120000,12.120000,12.120000,12.120000,11.061343,0
2020-02-11,12.100000,12.100000,12.100000,12.100000,11.043089,0
2020-02-12,12.090000,12.090000,12.090000,12.090000,11.033965,0
2020-02-13,12.100000,12.100000,12.100000,12.100000,11.043089,0
2020-02-14,12.110000,12.110000,12.110000,12.110000,11.052214,0
2020-02-18,12.130000,12.130000,12.130000,12.130000,11.070467,0
2020-02-19,12.120000,12.120000,12.120000,12.120000,11.061343,0
2020-02-20,12.150000,12.150000,12.150000,12.150000,11.088721,0
2020-02-21,12.170000,12.170000,12.170000,12.170000,11.106974,0
2020-02-24,12.220000,12.220000,12.220000,12.220000,11.152603,0
2020-02-25,12.230000,12.230000,12.230000,12.230000,11.161732,0
2020-02-26,12.220000,12.220000,12.220000,12.220000,11.152603,0
2020-02-27,12.240000,12.240000,12.240000,12.240000,11.170860,0
2020-02-28,12.320000,12.320000,12.320000,12.320000,11.265963,0
2020-03-02,12.300000,12.300000,12.300000,12.300000,11.247674,0
2020-03-03,12.390000,12.390000,12.390000,12.390000,11.329974,0
2020-03-04,12.370000,12.370000,12.370000,12.370000,11.311686,0
2020-03-05,12.430000,12.430000,12.430000,12.430000,11.366550,0
2020-03-06,12.520000,12.520000,12.520000,12.520000,11.448849,0
2020-03-09,12.490000,12.490000,12.490000,12.490000,11.421418,0
2020-03-10,12.340000,12.340000,12.340000,12.340000,11.284250,0
2020-03-11,12.270000,12.270000,12.270000,12.270000,11.220241,0
2020-03-12,12.160000,12.160000,12.160000,12.160000,11.119651,0
2020-03-13,12.100000,12.100000,12.100000,12.100000,11.064785,0
2020-03-16,12.230000,12.230000,12.230000,12.230000,11.183662,0
2020-03-17,12.010000,12.010000,12.010000,12.010000,10.982486,0
2020-03-18,11.810000,11.810000,11.810000,11.810000,10.799595,0
2020-03-19,11.720000,11.720000,11.720000,11.720000,10.717295,0
2020-03-20,11.850000,11.850000,11.850000,11.850000,10.836174,0
2020-03-23,11.960000,11.960000,11.960000,11.960000,10.936760,0
2020-03-24,12.000000,12.000000,12.000000,12.000000,10.973340,0
2020-03-25,12.070000,12.070000,12.070000,12.070000,11.037348,0
2020-03-26,12.140000,12.140000,12.140000,12.140000,11.101361,0
2020-03-27,12.250000,12.250000,12.250000,12.250000,11.201952,0
2020-03-30,12.250000,12.250000,12.250000,12.250000,11.201952,0
2020-03-31,12.270000,12.270000,12.270000,12.270000,11.243187,0
2020-04-01,12.280000,12.280000,12.280000,12.280000,11.252351,0
2020-04-02,12.280000,12.280000,12.280000,12.280000,11.252351,0
2020-04-03,12.280000,12.280000,12.280000,12.280000,11.252351,0
2020-04-06,12.270000,12.270000,12.270000,12.270000,11.243187,0
2020-04-07,12.290000,12.290000,12.290000,12.290000,11.261511,0
2020-04-08,12.290000,12.290000,12.290000,12.290000,11.261511,0
2020-04-09,12.360000,12.360000,12.360000,12.360000,11.325652,0
2020-04-13,12.380000,12.380000,12.380000,12.380000,11.343983,0
2020-04-14,12.400000,12.400000,12.400000,12.400000,11.362304,0
